0,Review Content
1,The camera is not up to the mark for its build. They say it has a Sony camera but the crispiness is not there once you capture it. Over all a great phone except for the camera. You can got it"
2,"Selfie camera is not up to the mark,rest is good, working softly after 1mths of use.Battery back up is of one day after normal use.Sound quality is very good,also the front camera,so good value for money."
3,"Pros:- 1. Performance is best for normal user.
2. Camera is excellent as it has sony sensor.
3. Fingerprint and display is also best as it has amoled display.
4. Sound Quality is good

Cons:- the only cons i can see that if it has 5000mah battery, it would have been more better.
Here i want to mention that don't go for negative review about battery, you have to optimise in the settings and it will easily give you 20-30 hrs of backup in single charge."
4,"Writing this review after 19 days of usage

Pro:
display is very nice and smooth
Performance is good
Look and in hand feel is awesome
Charge time is 35mins max

Cons :
battery back up is not upto the mark. Considering its 4500 mah battery, it's well optimised. But if u were using 5000 or 6000 mah battery mobile previously, please don't consider this.
There are some glitches in the mobile.
Camera quality is below average
Wide angle camera is worst

Packaging was good and delivery was on time. Thanks Amazon for delivering smiles?? order 2 more mobiles after this with same color. ??
That's all for now bye ??"
5,"I didn't felt a difference between 10k vs Nord 2T mobile.
Unless 5G services are in use....
Just a phone, felt not worthy of 35k for 12G RAM"
6,"Best in performance,camera quality is good.good in build quality,back pannel is so attractive and glitter shadow ."
7,Overall product is good but battery life not so good. faster charging with fast battery draining
8,
9,Very Good Mobile but battery backup is very bad like battery backup is 6-8 hours only.
10,"Camera quality good, display good, battery life some dispointed,but charging Speed very good"
11,"Everything is good, but battery drain very fast while using phone."
12,"After a week use , I am writing the review, I found some lagging while using Facebook and Snapchat, if i open some post which contains 2-3 photos, I can't see the picture and Snapchat is also getting hanged. Not satisfied after spending such big amount.
Screen gesture is also not working fine, i turn it back to button option. Kindly solve this issue in the next updates. Battery life is less as it charged fast but also drain fast."
13,"Good quality phone, but OnePlus needs to improve camera and display quality"
14,"Superab Mobile in 20k with exchange & bank offers , Best experience while using ,90 hz or 144hz not big difference. Best for daily basis task.Go for it!!"
15,"Happy and satisfied, perfomance match the expectations, Good phone in the price range, Fast charging is excellent, excellent network support, overall good 1+ Phone in this price."
16,Good phone overall but battery drains really fast
17,Fingerprint reader 5 star battery 4 star camera 4Star
18,Good mobile with good price
19,"Oxygen OS is okk, but Motorola/Nokia phone's stock Android is better than other phone's OS..."
20,Best mobile under 29k and very beautiful camera quality
21,Cemra quality is next level
22,Best phone for phots and videos... Battery last up to 8-9hrs only. Fast Charging nice.
23,1+ Nord 2T prices very high. This phone price something 20000 .
24,Finger print reader could have been much better..
25,I like camera..
26,"Pros- camera, premium body, fast charging, display, clean UI, dual speaker

Cons - 90 has RR, 4000 may battery, not for high-end gaming,"
27,Very good ??
28,"Little bit slow operating and camera sometimes show some black shadow border orelse camera is awesome in night mode also.
Its not work like 12 gb ram smoothness is not what i expected from oneplus."
29,Battery drained fastly.
30,Anybody who want a hassle free phone can buy this one. Software experience is good and smooth. No bug I noticed. Battery life is not that great but it's good. Performance is quite stable if you play games for an hour.
31,"Phone is quite good but the battery drainage is very fast which must be correct by OnePlus team, hoping that it will be correct in next update soon."
32,Good product
33,Best Camera this range
34,Camera is not upto the expectation
